"videostatsid","ytvideoid","views","comments","likes","dislikes","timestamp"
"79","KUaVjms6yyY","4788674","14800","245769","4312","2019-04-15 04:43:31"
"80","RQOhAeNAjKc","889374","4103","38053","466","2019-04-15 04:43:32"
"81","Kb1a3OSVjXk","1698506","1391","39976","518","2019-04-15 04:43:32"
"82","nyU2mFp3ru0","190721","418","3122","102","2019-04-15 04:43:33"
"83","pAoEHR4aW8I","4907542","15988","133929","3787","2019-04-15 04:43:33"
"84","S_GVbuddri8","5124350","24185","212062","2659","2019-04-15 04:43:34"
"85","D3nT0piQDgA","1195757","5516","68363","3153","2019-04-15 04:43:34"
"86","29Uy9z0lzcw","1397982","7398","55101","2185","2019-04-15 04:43:35"
"87","15odjKT7MPA","790162","1393","6211","193","2019-04-15 04:43:36"
"88","u8tdT5pAE34","7223915","50141","532933","2837","2019-04-15 04:43:36"
"89","17A_wsy6WX0","2393251","17523","248611","7506","2019-04-15 04:43:37"
"90","W_VzAap2vl0","1209247","5956","14723","1331","2019-04-15 04:43:37"
"91","tV1S5mKN_b8","920089","4151","32461","1104","2019-04-15 04:43:38"
"92","HUsIcK1a4B0","5156223","11973","262279","2794","2019-04-15 04:43:38"
"93","z5MCMhXSdQM","639184","1378","4728","277","2019-04-15 04:43:39"
"94","AkK_n5Q8M38","1062156","3721","33983","1153","2019-04-15 04:43:39"
"95","LL2jKGvyC8Y","200732","763","1738","71","2019-04-15 04:43:40"
"96","m1MewpFNBdc","1918707","8831","181970","1557","2019-04-15 04:43:41"
"97","ECdQ6OV-rkU","2222317","4172","60132","525","2019-04-15 04:43:41"
"98","N2DdOs5OhxY","1100255","3999","49247","916","2019-04-15 04:43:42"
"99","zxVmyC5xqUE","421429","3120","10121","442","2019-04-15 04:43:42"
"100","0GLbwkfhYZk","5722228","28236","185230","10864","2019-04-15 04:44:33"
"101","O4NB73HTlxI","3689958","31565","278540","4711","2019-04-15 04:44:33"
"102","VVRcXtSjPcE","256473","1025","4593","87","2019-04-15 04:44:34"
"103","adzYW5DZoWs","21567972","79216","478526","61704","2019-04-15 04:44:34"
"104","p_8yK2kmxoo","2402553","10703","133344","1324","2019-04-15 04:44:35"
"105","g7itQNVeFB4","557918","4100","19914","1092","2019-04-15 04:44:36"
"106","BJzJtm7OfdQ","730353","5557","54089","779","2019-04-15 04:44:36"
"107","qOkZiVlQHMs","695015","1503","16486","189","2019-04-15 04:44:36"
"108","I47_jCtfYlE","1237604","5023","15003","451","2019-04-15 04:44:37"
"109","5jDsPkPjVK4","532024","3267","23931","816","2019-04-15 04:44:37"
"110","C4_UntN6O2A","731316","2992","30377","401","2019-04-15 04:44:38"
"111","a5vg_Yi42Ok","1348874","3723","35925","1320","2019-04-15 04:44:38"
"112","CikXQvz57ZU","369360","738","8214","208","2019-04-15 04:44:39"
"113","2x8guH7hsgc","2111088","31741","37925","26324","2019-04-15 04:44:39"
"114","AFWIu243KY8","219876","461","1473","131","2019-04-15 04:44:40"
"115","h3P5Hrblbe0","223795","462","14378","42","2019-04-15 04:44:40"
"116","VSPuRXkUWoU","1501549","8788","229180","424","2019-04-15 04:44:41"
"117","AJKDh52Ehac","216046","1031","6681","140","2019-04-15 04:44:42"
"118","KMwuyXQcWfI","557522","993","6867","180","2019-04-15 04:44:42"
"119","u5jugGl_pu0","575055","3107","55248","131","2019-04-15 04:44:42"
"120","kOd19ljsklQ","2461061","10688","117015","965","2019-04-15 04:44:43"
"121","_aHE8lgalJU","169160","6236","20297","63","2019-04-15 04:44:43"
"122","04WYGo4rfdw","928421","2005","15102","557","2019-04-15 04:44:44"
"123","QuderoyWqII","6721811","40732","326317","10956","2019-04-15 04:44:44"
"124","zKfmiAYiC-M","1521414","4771","24582","1362","2019-04-15 04:44:45"
"125","6gfh2UfcJFw","349236","1457","18595","175","2019-04-15 04:44:45"
"126","nKh_yq627WM","528556","7485","47420","343","2019-04-15 04:44:46"
"127","XsX3ATc3FbA","127803231","2752364","8044087","334923","2019-04-15 04:44:47"
"128","mWkP7esvuiw","1063859","1781","14261","251","2019-04-15 04:44:47"
"129","zIG2yCvG3TI","296226","678","2135","194","2019-04-15 04:44:47"
"130","-9txATEWXTQ","7109397","36434","411992","12987","2019-04-15 04:44:48"
