"videostatsid","ytvideoid","views","comments","likes","dislikes","timestamp"
"343","LLR0jg7Xu9M","625806","525","11985","156","2019-04-15 05:15:25"
"344","0flfyCjIh8M","956520","2552","20165","360","2019-04-15 05:15:26"
"345","QaZ93sibpk0","21401564","51630","546511","38188","2019-04-15 05:15:26"
"346","mQ2fJ_aM_T0","1231751","5775","53251","623","2019-04-15 05:15:27"
"347","26EivpCPHnQ","2858364","20983","130508","1313","2019-04-15 05:15:28"
"348","cKiX2rUB6sY","517531","3576","35040","1037","2019-04-15 05:15:29"
"349","IdzY6lcCiCM","702937","2835","24393","266","2019-04-15 05:15:29"
"350","MdVTBGEuxhM","901690","2070","31657","707","2019-04-15 05:15:30"
"351","bQ3gBKDa8RY","1295397","1891","34694","466","2019-04-15 05:15:30"
"352","_cdt2CLalhA","606227","1886","17632","3426","2019-04-15 05:15:30"
"353","SR5kfWXfxto","6993345","34448","224262","3460","2019-04-15 05:15:31"
"354","ZEWGyyLiqY4","801156","1595","20157","531","2019-04-15 05:15:31"
"355","OzUXonhJo3Y","1791649","4356","43481","1158","2019-04-15 05:15:32"
"356","QZsthdsh6yk","33954143","84370","707896","189434","2019-04-15 05:15:33"
"357","r7CWEE3ZAWs","5901578","25681","317686","12838","2019-04-15 05:15:33"
"358","YSJlU2q58Bc","5629090","6350","189298","2505","2019-04-15 05:15:34"
"359","550f3BEWEwQ","445981","517","5547","254","2019-04-15 05:15:34"
"360","YPZ1f52jlm8","383029","828","18761","223","2019-04-15 05:15:35"
"361","UoUeBLp5KlI","946996","3464","21397","835","2019-04-15 05:15:35"
"362","LKtajrJUggU","543006","1103","9598","297","2019-04-15 05:15:36"
"363","81UOofW82FY","9488526","16001","302241","2659","2019-04-15 05:15:36"
"364","T4Q0pElKWY0","3351418","17675","235415","1237","2019-04-15 05:15:37"
"365","8SGbIHoKewM","787874","1233","11645","516","2019-04-15 05:15:37"
"366","198gzllaumo","13695947","15390","293868","6105","2019-04-15 05:15:38"
"367","3_ZSwppz2ak","560118","2183","20234","407","2019-04-15 05:15:38"
"368","7TavVZMewpY","23766048","45722","489878","20627","2019-04-15 05:15:39"
"369","6cFAYjQw2CA","1843963","6693","29195","1097","2019-04-15 05:15:39"
"370","5HoE9Tn5oug","1454911","4901","92033","558","2019-04-15 05:15:40"
"371","Ms5yMta2p9A","2324214","7752","207895","1429","2019-04-15 05:15:40"
"372","-ze37NCz5oI","923787","6091","36492","296","2019-04-15 05:15:41"
"373","jjanTQjvkUM","396146","849","2848","229","2019-04-15 05:15:41"
"374","kQ1xE4sK9Qk","1055683","1482","22866","447","2019-04-15 05:15:42"
"375","iVn37ndpkIc","368249","1510","7532","165","2019-04-15 05:15:42"
"376","KUaVjms6yyY","4798792","14805","245981","4320","2019-04-15 05:15:43"
"377","RQOhAeNAjKc","890087","4103","38072","467","2019-04-15 05:15:43"
"378","Kb1a3OSVjXk","1700147","1398","39994","518","2019-04-15 05:15:44"
"379","nyU2mFp3ru0","190861","418","3124","102","2019-04-15 05:15:44"
"380","pAoEHR4aW8I","4910517","15980","133946","3787","2019-04-15 05:15:45"
"381","S_GVbuddri8","5127079","24208","212104","2660","2019-04-15 05:15:45"
"382","D3nT0piQDgA","1201073","5521","68448","3157","2019-04-15 05:15:46"
"383","29Uy9z0lzcw","1399054","7398","55109","2186","2019-04-15 05:15:46"
"384","15odjKT7MPA","790418","1393","6211","193","2019-04-15 05:15:47"
"385","u8tdT5pAE34","7245772","50179","533281","2843","2019-04-15 05:15:47"
"386","17A_wsy6WX0","2399443","17536","248728","7513","2019-04-15 05:15:48"
"387","W_VzAap2vl0","1209909","5956","14729","1331","2019-04-15 05:15:48"
"388","tV1S5mKN_b8","920180","4151","32464","1104","2019-04-15 05:15:49"
"389","HUsIcK1a4B0","5164320","11979","262405","2796","2019-04-15 05:15:49"
"390","z5MCMhXSdQM","639633","1378","4729","277","2019-04-15 05:15:50"
"391","AkK_n5Q8M38","1063410","3721","34004","1155","2019-04-15 05:15:50"
"392","LL2jKGvyC8Y","200784","763","1738","71","2019-04-15 05:15:51"
"393","m1MewpFNBdc","1919719","8831","182014","1557","2019-04-15 05:15:52"
"394","ECdQ6OV-rkU","2223847","4172","60153","525","2019-04-15 05:15:52"
"395","N2DdOs5OhxY","1100910","3999","49257","916","2019-04-15 05:15:52"
"396","zxVmyC5xqUE","422180","3121","10129","442","2019-04-15 05:15:53"
"397","0GLbwkfhYZk","5800842","28304","186194","10968","2019-04-15 05:30:02"
"398","O4NB73HTlxI","3767804","31840","280380","4794","2019-04-15 05:30:03"
"399","VVRcXtSjPcE","267685","1037","4668","88","2019-04-15 05:30:03"
"400","adzYW5DZoWs","21656534","79363","479156","61817","2019-04-15 05:30:04"
"401","p_8yK2kmxoo","2467824","10764","134736","1352","2019-04-15 05:30:05"
"402","g7itQNVeFB4","572512","4135","20051","1124","2019-04-15 05:30:05"
"403","BJzJtm7OfdQ","758164","5590","54924","794","2019-04-15 05:30:05"
"404","qOkZiVlQHMs","726221","1527","16809","194","2019-04-15 05:30:06"
"405","I47_jCtfYlE","1250394","5030","15042","455","2019-04-15 05:30:06"
"406","5jDsPkPjVK4","549426","3336","24229","838","2019-04-15 05:30:07"
"407","C4_UntN6O2A","746002","2992","30564","407","2019-04-15 05:30:07"
"408","a5vg_Yi42Ok","1375982","3740","36233","1340","2019-04-15 05:30:08"
"409","CikXQvz57ZU","382359","738","8318","211","2019-04-15 05:30:08"
"410","2x8guH7hsgc","2132802","31814","38025","26504","2019-04-15 05:30:09"
"411","AFWIu243KY8","224307","461","1479","131","2019-04-15 05:30:09"
"412","h3P5Hrblbe0","230374","462","14612","45","2019-04-15 05:30:10"
"413","VSPuRXkUWoU","1536587","8851","232411","435","2019-04-15 05:30:10"
"414","AJKDh52Ehac","220787","1046","6718","142","2019-04-15 05:30:11"
"415","KMwuyXQcWfI","562696","993","6881","182","2019-04-15 05:30:11"
"416","u5jugGl_pu0","593933","3174","56195","135","2019-04-15 05:30:12"
"417","kOd19ljsklQ","2475043","10703","117249","970","2019-04-15 05:30:12"
"418","_aHE8lgalJU","171857","6258","20389","63","2019-04-15 05:30:13"
"419","04WYGo4rfdw","935859","2005","15168","559","2019-04-15 05:30:13"
"420","QuderoyWqII","6748015","40775","326706","10974","2019-04-15 05:30:14"
"421","zKfmiAYiC-M","1545787","4798","24754","1368","2019-04-15 05:30:14"
"422","6gfh2UfcJFw","359974","1462","18813","176","2019-04-15 05:30:15"
"423","nKh_yq627WM","538802","7538","47792","349","2019-04-15 05:30:16"
"424","XsX3ATc3FbA","128465144","2754355","8052683","336052","2019-04-15 05:30:16"
"425","mWkP7esvuiw","1080224","1787","14326","254","2019-04-15 05:30:17"
"426","zIG2yCvG3TI","299858","678","2141","195","2019-04-15 05:30:17"
"427","-9txATEWXTQ","7131543","36471","412477","13015","2019-04-15 05:30:18"
"428","DfggRtdOiTE","857584","2741","5221","205","2019-04-15 05:30:18"
"429","t0t9dul8bOw","1210267","4556","27160","935","2019-04-15 05:30:19"
"430","O8CCQopoCAE","543692","4398","40888","430","2019-04-15 05:30:19"
"431","pY8O7-mpdUk","1206501","3751","10660","1978","2019-04-15 05:30:20"
"432","BPExj-3kaAc","838882","7863","29662","434","2019-04-15 05:30:21"
"433","TW-kag5GG9s","637335","2845","22360","503","2019-04-15 05:30:21"
"434","zaWyIKas2Ww","237063","536","1405","50","2019-04-15 05:30:21"
"435","uv9kDcbJLi8","951059","2601","53122","991","2019-04-15 05:30:22"
"436","f2AuCmxtOSA","408801","2161","21266","336","2019-04-15 05:30:22"
"437","81UpjkAuHJM","346306","642","6099","273","2019-04-15 05:30:23"
"438","NJo8CjVpIEw","889432","2433","7924","1169","2019-04-15 05:30:23"
"439","NbhiGb_pZ-g","2251065","14628","123606","1869","2019-04-15 05:30:24"
"440","HkdPYRxYMdc","1448185","6359","56699","1852","2019-04-15 05:30:24"
"441","f5bJ5acwZtI","1994964","19083","211438","4185","2019-04-15 05:30:24"
"442","LLR0jg7Xu9M","628662","525","11999","156","2019-04-15 05:30:25"
"443","0flfyCjIh8M","957970","2552","20171","360","2019-04-15 05:30:25"
"444","QaZ93sibpk0","21421732","51630","546653","38199","2019-04-15 05:30:26"
"445","mQ2fJ_aM_T0","1239148","5775","53297","624","2019-04-15 05:30:26"
"446","26EivpCPHnQ","2861782","20988","130544","1314","2019-04-15 05:30:28"
"447","cKiX2rUB6sY","518768","3576","35070","1038","2019-04-15 05:30:28"
"448","IdzY6lcCiCM","703555","2835","24396","266","2019-04-15 05:30:29"
"449","MdVTBGEuxhM","903877","2070","31685","707","2019-04-15 05:30:29"
"450","bQ3gBKDa8RY","1298533","1891","34719","468","2019-04-15 05:30:29"
"451","_cdt2CLalhA","606686","1886","17637","3427","2019-04-15 05:30:30"
"452","SR5kfWXfxto","7001773","34457","224320","3461","2019-04-15 05:30:30"
"453","ZEWGyyLiqY4","802711","1595","20171","532","2019-04-15 05:30:31"
"454","OzUXonhJo3Y","1792157","4356","43483","1158","2019-04-15 05:30:31"
"455","QZsthdsh6yk","34061261","84438","708712","189632","2019-04-15 05:30:32"
"456","r7CWEE3ZAWs","5917609","25697","317958","12857","2019-04-15 05:30:32"
"457","YSJlU2q58Bc","5641186","6350","189366","2507","2019-04-15 05:30:33"
"458","550f3BEWEwQ","446129","517","5547","254","2019-04-15 05:30:33"
"459","YPZ1f52jlm8","383850","828","18770","223","2019-04-15 05:30:33"
"460","UoUeBLp5KlI","948569","3464","21401","835","2019-04-15 05:30:34"
"461","LKtajrJUggU","543088","1103","9598","297","2019-04-15 05:30:34"
"462","81UOofW82FY","9503479","16015","302321","2662","2019-04-15 05:30:35"
"463","T4Q0pElKWY0","3354252","17682","235456","1236","2019-04-15 05:30:35"
"464","8SGbIHoKewM","788351","1232","11646","516","2019-04-15 05:30:36"
"465","198gzllaumo","13717936","15396","293958","6111","2019-04-15 05:30:37"
"466","3_ZSwppz2ak","560883","2183","20236","408","2019-04-15 05:30:38"
"467","7TavVZMewpY","23778026","45722","489946","20633","2019-04-15 05:30:38"
"468","6cFAYjQw2CA","1849059","6693","29222","1098","2019-04-15 05:30:39"
"469","5HoE9Tn5oug","1458105","4901","92062","559","2019-04-15 05:30:39"
"470","Ms5yMta2p9A","2327593","7752","207919","1430","2019-04-15 05:30:40"
"471","-ze37NCz5oI","924346","6091","36500","296","2019-04-15 05:30:40"
"472","jjanTQjvkUM","396301","849","2848","229","2019-04-15 05:30:41"
"473","kQ1xE4sK9Qk","1057676","1482","22874","449","2019-04-15 05:30:41"
"474","iVn37ndpkIc","368699","1510","7535","165","2019-04-15 05:30:42"
"475","KUaVjms6yyY","4809856","14805","246077","4327","2019-04-15 05:30:42"
"476","RQOhAeNAjKc","891300","4103","38083","467","2019-04-15 05:30:43"
"477","Kb1a3OSVjXk","1700879","1398","40002","518","2019-04-15 05:30:43"
"478","nyU2mFp3ru0","190921","418","3124","102","2019-04-15 05:30:44"
"479","pAoEHR4aW8I","4912259","15987","133960","3787","2019-04-15 05:30:44"
"480","S_GVbuddri8","5130345","24208","212136","2661","2019-04-15 05:30:45"
"481","D3nT0piQDgA","1203630","5521","68485","3159","2019-04-15 05:30:45"
"482","29Uy9z0lzcw","1399549","7398","55110","2186","2019-04-15 05:30:45"
"483","15odjKT7MPA","790518","1393","6211","193","2019-04-15 05:30:46"
"484","u8tdT5pAE34","7256361","50180","533423","2846","2019-04-15 05:30:46"
"485","17A_wsy6WX0","2402599","17536","248775","7516","2019-04-15 05:30:47"
"486","W_VzAap2vl0","1210489","5956","14733","1331","2019-04-15 05:30:47"
"487","tV1S5mKN_b8","920361","4158","32464","1105","2019-04-15 05:30:48"
"488","HUsIcK1a4B0","5168230","11979","262475","2796","2019-04-15 05:30:48"
"489","z5MCMhXSdQM","640195","1378","4729","277","2019-04-15 05:30:48"
"490","AkK_n5Q8M38","1064215","3721","34010","1156","2019-04-15 05:30:49"
"491","LL2jKGvyC8Y","200824","763","1738","71","2019-04-15 05:30:49"
"492","m1MewpFNBdc","1920290","8831","182030","1557","2019-04-15 05:30:50"
"493","ECdQ6OV-rkU","2224761","4180","60158","525","2019-04-15 05:30:51"
"494","N2DdOs5OhxY","1101391","3999","49262","916","2019-04-15 05:30:51"
"495","zxVmyC5xqUE","422569","3121","10130","444","2019-04-15 05:30:51"
"496","0GLbwkfhYZk","5822620","28336","186497","11011","2019-04-15 05:45:02"
"497","O4NB73HTlxI","3790937","31929","280986","4809","2019-04-15 05:45:02"
"498","VVRcXtSjPcE","271694","1043","4681","88","2019-04-15 05:45:03"
"499","adzYW5DZoWs","21693235","79386","479398","61865","2019-04-15 05:45:04"
"500","p_8yK2kmxoo","2490495","10783","135219","1360","2019-04-15 05:45:05"
"501","g7itQNVeFB4","574795","4135","20093","1139","2019-04-15 05:45:05"
"502","BJzJtm7OfdQ","766628","5605","55209","800","2019-04-15 05:45:06"
"503","qOkZiVlQHMs","734650","1536","16907","196","2019-04-15 05:45:06"
"504","I47_jCtfYlE","1254043","5030","15065","456","2019-04-15 05:45:07"
"505","5jDsPkPjVK4","554060","3357","24346","842","2019-04-15 05:45:08"
"506","C4_UntN6O2A","749913","2992","30628","408","2019-04-15 05:45:08"
"507","a5vg_Yi42Ok","1387623","3746","36352","1349","2019-04-15 05:45:09"
"508","CikXQvz57ZU","384966","738","8350","215","2019-04-15 05:45:09"
"509","h3P5Hrblbe0","233276","462","14681","45","2019-04-15 05:45:10"
"510","2x8guH7hsgc","2136710","31841","38054","26557","2019-04-15 05:45:10"
"511","VSPuRXkUWoU","1545434","8859","233466","438","2019-04-15 05:45:11"
"512","AJKDh52Ehac","221837","1046","6736","143","2019-04-15 05:45:12"
"513","KMwuyXQcWfI","563572","993","6885","184","2019-04-15 05:45:12"
"514","AFWIu243KY8","224998","461","1483","131","2019-04-15 05:45:13"
"515","u5jugGl_pu0","599903","3179","56496","136","2019-04-15 05:45:13"
"516","kOd19ljsklQ","2479135","10708","117312","970","2019-04-15 05:45:14"
"517","_aHE8lgalJU","172509","6273","20419","64","2019-04-15 05:45:14"
"518","04WYGo4rfdw","938481","2005","15182","560","2019-04-15 05:45:15"
"519","zKfmiAYiC-M","1553367","4806","24810","1369","2019-04-15 05:45:16"
"520","QuderoyWqII","6754037","40789","326810","10978","2019-04-15 05:45:16"
"521","6gfh2UfcJFw","362335","1462","18881","176","2019-04-15 05:45:17"
"522","nKh_yq627WM","541574","7538","47906","351","2019-04-15 05:45:17"
"523","XsX3ATc3FbA","128648267","2755022","8055656","336404","2019-04-15 05:45:19"
"524","mWkP7esvuiw","1084932","1780","14350","254","2019-04-15 05:45:19"
"525","zIG2yCvG3TI","300394","678","2141","196","2019-04-15 05:45:20"
"526","-9txATEWXTQ","7136490","36476","412613","13020","2019-04-15 05:45:20"
"527","DfggRtdOiTE","859688","2741","5232","205","2019-04-15 05:45:21"
"528","t0t9dul8bOw","1212555","4565","27219","935","2019-04-15 05:45:21"
"529","O8CCQopoCAE","544589","4398","40929","432","2019-04-15 05:45:22"
"530","pY8O7-mpdUk","1209623","3751","10668","1981","2019-04-15 05:45:22"
"531","BPExj-3kaAc","840421","7868","29701","434","2019-04-15 05:45:23"
"532","TW-kag5GG9s","639311","2845","22381","506","2019-04-15 05:45:23"
"533","zaWyIKas2Ww","237682","536","1408","50","2019-04-15 05:45:24"
"534","uv9kDcbJLi8","952694","2601","53160","991","2019-04-15 05:45:24"
"535","f2AuCmxtOSA","409619","2161","21273","337","2019-04-15 05:45:25"
"536","81UpjkAuHJM","346944","642","6101","273","2019-04-15 05:45:25"
"537","NJo8CjVpIEw","890978","2433","7929","1172","2019-04-15 05:45:25"
"538","NbhiGb_pZ-g","2252698","14628","123660","1871","2019-04-15 05:45:26"
"539","HkdPYRxYMdc","1449161","6364","56712","1854","2019-04-15 05:45:26"
"540","f5bJ5acwZtI","1998728","19093","211672","4202","2019-04-15 05:45:27"
"541","LLR0jg7Xu9M","630608","525","12011","157","2019-04-15 05:45:27"
"542","0flfyCjIh8M","959352","2552","20174","360","2019-04-15 05:45:28"
"543","QaZ93sibpk0","21441062","51645","546796","38215","2019-04-15 05:45:28"
"544","mQ2fJ_aM_T0","1241333","5775","53339","627","2019-04-15 05:45:28"
"545","26EivpCPHnQ","2864341","21013","130586","1315","2019-04-15 05:45:30"
"546","cKiX2rUB6sY","519364","3576","35093","1038","2019-04-15 05:45:30"
"547","IdzY6lcCiCM","703969","2835","24400","266","2019-04-15 05:45:31"
"548","MdVTBGEuxhM","905790","2070","31713","707","2019-04-15 05:45:31"
"549","bQ3gBKDa8RY","1300774","1891","34759","468","2019-04-15 05:45:31"
"550","_cdt2CLalhA","607133","1886","17642","3427","2019-04-15 05:45:32"
"551","SR5kfWXfxto","7007049","34462","224400","3461","2019-04-15 05:45:33"
"552","ZEWGyyLiqY4","804347","1595","20187","532","2019-04-15 05:45:34"
"553","OzUXonhJo3Y","1792625","4356","43486","1158","2019-04-15 05:45:34"
"554","QZsthdsh6yk","34144526","84478","709503","189799","2019-04-15 05:45:35"
"555","r7CWEE3ZAWs","5933685","25704","318233","12869","2019-04-15 05:45:35"
"556","YSJlU2q58Bc","5649706","6357","189453","2508","2019-04-15 05:45:36"
"557","550f3BEWEwQ","446175","517","5548","254","2019-04-15 05:45:36"
"558","YPZ1f52jlm8","384497","828","18776","223","2019-04-15 05:45:37"
"559","UoUeBLp5KlI","949045","3464","21405","835","2019-04-15 05:45:37"
"560","LKtajrJUggU","543214","1103","9597","297","2019-04-15 05:45:38"
"561","81UOofW82FY","9508854","16015","302402","2663","2019-04-15 05:45:38"
"562","T4Q0pElKWY0","3355348","17682","235474","1236","2019-04-15 05:45:39"
"563","8SGbIHoKewM","788510","1232","11646","516","2019-04-15 05:45:39"
"564","198gzllaumo","13732313","15418","294037","6118","2019-04-15 05:45:39"
"565","3_ZSwppz2ak","561088","2183","20242","409","2019-04-15 05:45:40"
"566","7TavVZMewpY","23792721","45729","490027","20639","2019-04-15 05:45:40"
"567","6cFAYjQw2CA","1851645","6693","29256","1100","2019-04-15 05:45:41"
"568","5HoE9Tn5oug","1458876","4901","92100","559","2019-04-15 05:45:41"
"569","Ms5yMta2p9A","2328478","7752","207938","1430","2019-04-15 05:45:42"
"570","-ze37NCz5oI","924629","6091","36502","296","2019-04-15 05:45:42"
"571","jjanTQjvkUM","396405","849","2848","230","2019-04-15 05:45:43"
"572","kQ1xE4sK9Qk","1058827","1482","22887","452","2019-04-15 05:45:43"
"573","iVn37ndpkIc","369038","1510","7537","165","2019-04-15 05:45:43"
"574","KUaVjms6yyY","4818764","14811","246181","4328","2019-04-15 05:45:44"
"575","RQOhAeNAjKc","891711","4103","38092","467","2019-04-15 05:45:44"
"576","Kb1a3OSVjXk","1701614","1398","40012","519","2019-04-15 05:45:45"
"577","nyU2mFp3ru0","190973","418","3125","102","2019-04-15 05:45:45"
"578","pAoEHR4aW8I","4913555","15987","133967","3787","2019-04-15 05:45:46"
"579","S_GVbuddri8","5131875","24215","212155","2662","2019-04-15 05:45:46"
"580","D3nT0piQDgA","1206025","5521","68523","3159","2019-04-15 05:45:46"
"581","29Uy9z0lzcw","1399810","7398","55119","2187","2019-04-15 05:45:47"
"582","15odjKT7MPA","790575","1393","6212","193","2019-04-15 05:45:47"
"583","u8tdT5pAE34","7266847","50194","533592","2846","2019-04-15 05:45:48"
"584","17A_wsy6WX0","2405400","17536","248814","7519","2019-04-15 05:45:48"
"585","W_VzAap2vl0","1210794","5956","14740","1332","2019-04-15 05:45:49"
"586","tV1S5mKN_b8","920411","4158","32466","1105","2019-04-15 05:45:49"
"587","HUsIcK1a4B0","5170881","11979","262549","2796","2019-04-15 05:45:50"
"588","z5MCMhXSdQM","640431","1378","4729","277","2019-04-15 05:45:50"
"589","AkK_n5Q8M38","1064940","3721","34012","1155","2019-04-15 05:45:50"
"590","LL2jKGvyC8Y","200841","763","1739","71","2019-04-15 05:45:51"
"591","m1MewpFNBdc","1920766","8831","182047","1557","2019-04-15 05:45:51"
"592","ECdQ6OV-rkU","2225588","4188","60172","525","2019-04-15 05:45:52"
"593","N2DdOs5OhxY","1101652","3999","49264","916","2019-04-15 05:45:52"
"594","zxVmyC5xqUE","423001","3121","10134","444","2019-04-15 05:45:52"
"595","0GLbwkfhYZk","5857360","28354","186783","11045","2019-04-15 06:00:02"
"596","O4NB73HTlxI","3824050","31958","281596","4829","2019-04-15 06:00:03"
"597","VVRcXtSjPcE","274637","1043","4702","89","2019-04-15 06:00:03"
"598","adzYW5DZoWs","21718631","79399","479626","61921","2019-04-15 06:00:03"
"599","p_8yK2kmxoo","2519031","10795","135651","1370","2019-04-15 06:00:04"
"600","g7itQNVeFB4","580793","4135","20126","1150","2019-04-15 06:00:05"
"601","BJzJtm7OfdQ","775884","5638","55503","805","2019-04-15 06:00:05"
"602","qOkZiVlQHMs","747737","1554","17012","197","2019-04-15 06:00:06"
"603","I47_jCtfYlE","1259086","5030","15078","456","2019-04-15 06:00:06"
"604","5jDsPkPjVK4","562185","3362","24468","850","2019-04-15 06:00:07"
"605","C4_UntN6O2A","755813","2992","30697","408","2019-04-15 06:00:08"
"606","a5vg_Yi42Ok","1396018","3764","36462","1359","2019-04-15 06:00:08"
"607","CikXQvz57ZU","389331","738","8408","216","2019-04-15 06:00:09"
"608","h3P5Hrblbe0","236013","462","14738","45","2019-04-15 06:00:09"
"609","2x8guH7hsgc","2145303","31860","38079","26611","2019-04-15 06:00:10"
"610","VSPuRXkUWoU","1563014","8881","234551","443","2019-04-15 06:00:10"
"611","AJKDh52Ehac","223664","1046","6751","144","2019-04-15 06:00:11"
"612","KMwuyXQcWfI","565376","1002","6891","185","2019-04-15 06:00:11"
"613","AFWIu243KY8","226396","461","1486","131","2019-04-15 06:00:12"
"614","u5jugGl_pu0","609784","3190","56814","137","2019-04-15 06:00:12"
"615","kOd19ljsklQ","2484840","10713","117392","972","2019-04-15 06:00:13"
"616","_aHE8lgalJU","173724","6280","20459","67","2019-04-15 06:00:13"
"617","04WYGo4rfdw","941809","2005","15208","563","2019-04-15 06:00:14"
"618","zKfmiAYiC-M","1564323","4806","24868","1369","2019-04-15 06:00:14"
"619","QuderoyWqII","6766079","40814","326949","10981","2019-04-15 06:00:15"
"620","6gfh2UfcJFw","366244","1462","18948","178","2019-04-15 06:00:15"
"621","nKh_yq627WM","545610","7566","48028","354","2019-04-15 06:00:16"
"622","XsX3ATc3FbA","128998215","2756002","8058622","336768","2019-04-15 06:00:16"
"623","mWkP7esvuiw","1092066","1780","14374","254","2019-04-15 06:00:17"
"624","zIG2yCvG3TI","301582","678","2141","196","2019-04-15 06:00:17"
"625","-9txATEWXTQ","7145660","36504","412767","13027","2019-04-15 06:00:18"
"626","DfggRtdOiTE","864140","2741","5244","205","2019-04-15 06:00:18"
"627","t0t9dul8bOw","1217417","4585","27276","937","2019-04-15 06:00:19"
"628","O8CCQopoCAE","546437","4398","40990","432","2019-04-15 06:00:19"
"629","pY8O7-mpdUk","1213193","3751","10683","1983","2019-04-15 06:00:20"
"630","BPExj-3kaAc","843544","7873","29744","434","2019-04-15 06:00:20"
"631","TW-kag5GG9s","643057","2845","22404","508","2019-04-15 06:00:21"
"632","zaWyIKas2Ww","238604","536","1408","50","2019-04-15 06:00:21"
"633","uv9kDcbJLi8","955619","2601","53198","993","2019-04-15 06:00:22"
"634","f2AuCmxtOSA","410609","2161","21292","338","2019-04-15 06:00:22"
"635","81UpjkAuHJM","347938","642","6106","273","2019-04-15 06:00:23"
"636","NJo8CjVpIEw","893779","2433","7933","1178","2019-04-15 06:00:23"
"637","NbhiGb_pZ-g","2255831","14628","123708","1873","2019-04-15 06:00:23"
"638","HkdPYRxYMdc","1451240","6364","56729","1855","2019-04-15 06:00:24"
"639","f5bJ5acwZtI","2007175","19113","211902","4223","2019-04-15 06:00:25"
"640","LLR0jg7Xu9M","633053","525","12030","157","2019-04-15 06:00:25"
"641","0flfyCjIh8M","960271","2552","20179","360","2019-04-15 06:00:25"
"642","QaZ93sibpk0","21458762","51663","546945","38232","2019-04-15 06:00:26"
"643","mQ2fJ_aM_T0","1245593","5783","53382","627","2019-04-15 06:00:26"
"644","26EivpCPHnQ","2868278","21020","130622","1316","2019-04-15 06:00:28"
"645","cKiX2rUB6sY","520407","3576","35124","1040","2019-04-15 06:00:28"
"646","IdzY6lcCiCM","704582","2835","24406","266","2019-04-15 06:00:29"
"647","MdVTBGEuxhM","907489","2070","31736","708","2019-04-15 06:00:29"
"648","bQ3gBKDa8RY","1304148","1891","34784","468","2019-04-15 06:00:30"
"649","_cdt2CLalhA","607535","1886","17644","3427","2019-04-15 06:00:30"
"650","SR5kfWXfxto","7016542","34478","224459","3464","2019-04-15 06:00:31"
"651","ZEWGyyLiqY4","805688","1595","20200","532","2019-04-15 06:00:31"
"652","OzUXonhJo3Y","1792992","4356","43487","1158","2019-04-15 06:00:32"
"653","QZsthdsh6yk","34262532","84535","710305","189979","2019-04-15 06:00:33"
"654","r7CWEE3ZAWs","5949579","25711","318491","12877","2019-04-15 06:00:33"
"655","YSJlU2q58Bc","5659827","6364","189540","2508","2019-04-15 06:00:34"
"656","550f3BEWEwQ","446290","517","5548","254","2019-04-15 06:00:35"
"657","YPZ1f52jlm8","385096","828","18784","223","2019-04-15 06:00:35"
"658","UoUeBLp5KlI","949882","3464","21409","835","2019-04-15 06:00:36"
"659","LKtajrJUggU","543295","1103","9597","297","2019-04-15 06:00:37"
"660","81UOofW82FY","9518559","16015","302478","2663","2019-04-15 06:00:37"
"661","T4Q0pElKWY0","3357597","17682","235508","1237","2019-04-15 06:00:38"
"662","8SGbIHoKewM","788799","1233","11647","516","2019-04-15 06:00:38"
"663","198gzllaumo","13755061","15427","294119","6121","2019-04-15 06:00:39"
"664","3_ZSwppz2ak","561528","2183","20242","410","2019-04-15 06:00:39"
"665","7TavVZMewpY","23803709","45736","490110","20644","2019-04-15 06:00:39"
"666","6cFAYjQw2CA","1857028","6693","29290","1104","2019-04-15 06:00:40"
"667","5HoE9Tn5oug","1460916","4901","92133","559","2019-04-15 06:00:41"
"668","Ms5yMta2p9A","2330108","7752","207953","1430","2019-04-15 06:00:41"
"669","-ze37NCz5oI","925126","6091","36504","296","2019-04-15 06:00:41"
"670","jjanTQjvkUM","396553","849","2848","230","2019-04-15 06:00:42"
"671","kQ1xE4sK9Qk","1060651","1482","22898","452","2019-04-15 06:00:43"
"672","iVn37ndpkIc","369351","1510","7539","165","2019-04-15 06:00:43"
"673","KUaVjms6yyY","4825952","14811","246304","4334","2019-04-15 06:00:43"
"674","RQOhAeNAjKc","892553","4103","38102","467","2019-04-15 06:00:44"
"675","Kb1a3OSVjXk","1702336","1398","40019","519","2019-04-15 06:00:44"
"676","nyU2mFp3ru0","191025","418","3125","102","2019-04-15 06:00:45"
"677","pAoEHR4aW8I","4915063","15996","133978","3788","2019-04-15 06:00:45"
"678","S_GVbuddri8","5134632","24215","212166","2662","2019-04-15 06:00:46"
"679","D3nT0piQDgA","1208305","5537","68558","3162","2019-04-15 06:00:47"
"680","29Uy9z0lzcw","1400235","7405","55124","2187","2019-04-15 06:00:47"
"681","15odjKT7MPA","790659","1393","6212","193","2019-04-15 06:00:48"
"682","u8tdT5pAE34","7279062","50213","533762","2849","2019-04-15 06:00:48"
"683","17A_wsy6WX0","2408346","17545","248865","7522","2019-04-15 06:00:49"
"684","W_VzAap2vl0","1211291","5956","14741","1332","2019-04-15 06:00:49"
"685","tV1S5mKN_b8","920516","4158","32467","1105","2019-04-15 06:00:50"
"686","HUsIcK1a4B0","5174292","11979","262628","2797","2019-04-15 06:00:50"
"687","z5MCMhXSdQM","640902","1378","4730","277","2019-04-15 06:00:51"
